,종목명,업종명
0,AK홀딩스,기타금융
1,BYC,섬유의복
2,CJ,기타금융
3,CJCGV,서비스업
4,CJ대한통운,운수창고업
5,CJ씨푸드,음식료품
6,CJ제일제당,음식료품
7,CS홀딩스,기타금융
8,DB,서비스업
9,DB금융투자,증권
10,DB손해보험,보험
11,DB하이텍,전기전자
12,DRB동일,화학
13,DSR제강,철강금속
14,E1,유통업
15,GKL,서비스업
16,GS,기타금융
17,GS건설,건설업
18,GS글로벌,유통업
19,JW중외제약,의약품
20,JW홀딩스,기타금융
21,KB금융,기타금융
22,KC그린홀딩스,기타금융
23,KEC,전기전자
24,주성코퍼레이션,전기전자
25,KG케미칼,화학
26,KISCO홀딩스,철강금속
27,그린케미칼,화학
28,KPX케미칼,화학
29,KPX홀딩스,화학
30,KR모터스,운수장비
31,KSS해운,운수창고업
32,다올투자증권,증권
33,LF,섬유의복
34,LG,기타금융
35,LG디스플레이,전기전자
36,LG생활건강,화학
37,LG유플러스,통신업
38,LG이노텍,전기전자
39,LG전자,전기전자
40,LX하우시스,화학
41,LG화학,화학
42,LS,기타금융
43,LS네트웍스,유통업
44,LSELECTRIC,전기전자
45,MH에탄올,음식료품
46,NAVER,서비스업
47,NH투자증권,증권
48,NICE,서비스업
49,NI스틸,철강금속
50,SNT에너지,기계
51,SNT모티브,운수장비
52,SNT다이내믹스,운수장비
53,SNT홀딩스,기타금융
54,S-Oil,화학
55,SBS,서비스업
56,SG세계물산,유통업
57,SG글로벌,운수장비
58,SH에너지화학,화학
59,SIMPAC,철강금속
60,SK,기타금융
61,SKC,화학
62,SK가스,유통업
63,SK네트웍스,유통업
64,SK디스커버리,기타금융
65,SK이노베이션,화학
66,SK증권,증권
67,SK텔레콤,통신업
68,SK하이닉스,전기전자
69,SPC삼립,음식료품
70,STX,유통업
71,STX엔진,기계
72,STX중공업,기계
73,TCC스틸,철강금속
74,WISCOM,화학
75,YGPLUS,서비스업
76,가온전선,전기전자
77,강남제비스코,화학
78,강원랜드,서비스업
79,갤럭시아에스엠,서비스업
80,경농,화학
81,경동나비엔,전기전자
82,경동인베스트,기타금융
83,경방,유통업
84,경인양행,화학
85,경인전자,전기전자
86,계룡건설,건설업
87,계양전기,기계
88,고려산업,음식료품
89,고려아연,철강금속
90,고려제강,철강금속
91,상상인증권,증권
92,광동제약,의약품
93,광명전기,전기전자
94,광전자,전기전자
95,광주신세계,유통업
96,교보증권,증권
97,국도화학,화학
98,국동,유통업
99,국보,운수창고업
100,국제약품,의약품
101,극동유화,화학
102,금강공업,철강금속
103,금비,비금속광물
104,금양,화학
105,금호건설,건설업
106,금호석유,화학
107,금호전기,전기전자
108,기신정기,기계
109,기아,운수장비
110,기업은행,은행
111,까뮤이앤씨,건설업
112,깨끗한나라,종이목재
113,이엔플러스,기계
114,남광토건,건설업
115,남선알미늄,철강금속
116,남성,유통업
117,남양유업,음식료품
118,비비안,섬유의복
119,남해화학,화학
120,넥센,화학
121,넥센타이어,화학
122,노루페인트,화학
123,노루홀딩스,기타금융
124,녹십자,의약품
125,녹십자홀딩스,서비스업
126,농심,음식료품
127,농심홀딩스,기타금융
128,다우기술,서비스업
129,키다리스튜디오,서비스업
130,KIB플러그에너지,기계
131,대교,서비스업
132,대구백화점,유통업
133,대동,기계
134,대동전자,전기전자
135,대림B&Co,비금속광물
136,DL,화학
137,대림통상,기계
138,대상,음식료품
139,대상홀딩스,기타금융
140,대성홀딩스,서비스업
141,대신증권,증권
142,대양금속,철강금속
143,대영포장,종이목재
144,대우건설,건설업
145,대우부품,운수장비
146,한화오션,운수장비
147,대웅,의약품
148,대웅제약,의약품
149,대원강업,운수장비
150,대원전선,전기전자
151,대원제약,의약품
152,대원화성,화학
153,대유에이텍,운수장비
154,대유플러스,전기전자
155,대창,철강금속
156,대창단조,운수장비
157,대한방직,섬유의복
158,대한유화,화학
159,대한전선,전기전자
160,대한제강,철강금속
161,대한제당,음식료품
162,대한제분,음식료품
163,대한항공,운수창고업
164,대한화섬,화학
165,대현,섬유의복
166,대호에이엘,철강금속
167,더존비즈온,서비스업
168,덕성,화학
169,덕양산업,운수장비
170,케이비아이동국실업,운수장비
171,하이스틸,철강금속
172,하이트진로,음식료품
173,하이트진로홀딩스,기타금융
174,한국가스공사,전기가스업
175,한국공항,운수창고업
176,한국금융지주,기타금융
177,한국내화,비금속광물
178,한국단자,전기전자
179,한국석유,비금속광물
180,한국수출포장,종이목재
181,한국쉘석유,화학
182,한국전력,전기가스업
183,한국전자홀딩스,기타금융
184,한국주강,기계
185,한국주철관,철강금속
186,한국철강,철강금속
187,한국카본,기계
188,한국앤컴퍼니,기타금융
189,한국특강,철강금속
190,한국무브넥스,운수장비
191,한국화장품제조,화학
192,한농화성,화학
193,한독,의약품
194,HLD&I,건설업
195,한미글로벌,서비스업
196,한미반도체,기계
197,한미사이언스,기타금융
198,한샘,유통업
199,한섬,섬유의복
200,한성기업,음식료품
201,한세실업,섬유의복
202,한세예스24홀딩스,섬유의복
203,한솔로지스틱스,운수창고업
204,한솔케미칼,화학
205,한솔테크닉스,전기전자
206,한솔PNS,유통업
207,한솔홀딩스,기타금융
208,한솔홈데코,종이목재
209,한신공영,건설업
210,한신기계,기계
211,한양증권,증권
212,한온시스템,기계
213,한올바이오파마,의약품
214,한익스프레스,운수창고업
215,한일시멘트,비금속광물
216,한일철강,철강금속
217,한전KPS,건설업
218,한전기술,서비스업
219,한진,운수창고업
220,HJ중공업,건설업
221,한진중공업홀딩스,전기가스업
222,한창,유통업
223,한창제지,종이목재
224,한화,화학
225,한화손해보험,보험
226,한화솔루션,화학
227,한화에어로스페이스,운수장비
228,한화투자증권,증권
229,HDC현대EP,화학
230,현대건설,건설업
231,현대글로비스,운수창고업
232,현대리바트,기타제조업
233,현대모비스,운수장비
234,HD현대미포,운수장비
235,현대백화점,유통업
236,현대비앤지스틸,철강금속
237,HDC현대산업개발,건설업
238,HMM,운수창고업
239,한일현대시멘트,비금속광물
240,현대약품,의약품
241,현대엘리베이,기계
242,현대차,운수장비
243,현대제철,철강금속
244,현대코퍼레이션,유통업
245,현대차증권,증권
246,현대해상,보험
247,형지엘리트,섬유의복
248,혜인,유통업
249,호텔신라,유통업
250,화성산업,건설업
251,화승인더,화학
252,화신,운수장비
253,화천기계,기계
254,화천기공,기계
255,환인제약,의약품
256,황금에스티,철강금속
257,효성,기타금융
258,효성ITX,서비스업
259,후성,화학
260,휴니드,전기전자
261,휴스틸,철강금속
262,TKG휴켐스,화학
263,흥국화재,보험
264,흥아해운,운수창고업
265,동남합성,화학
266,동방,운수창고업
267,동방아그로,화학
268,동부건설,건설업
269,KG스틸,철강금속
270,동성제약,의약품
271,동성케미컬,서비스업
272,동아쏘시오홀딩스,기타금융
273,다스코,기계
274,동아지질,건설업
275,동양,비금속광물
276,동양고속,운수창고업
277,TYM,기계
278,동양생명,보험
279,동양철관,철강금속
280,HLB글로벌,광업
281,동원F&B,음식료품
282,동원금속,운수장비
283,동원산업,기타금융
284,동원수산,"농업, 임업 및 어업"
285,동원시스템즈,화학
286,DI동일,유통업
287,동일산업,철강금속
288,동화약품,의약품
289,두산,기타금융
290,HD현대인프라코어,기계
291,두산에너빌리티,기계
292,디씨엠,철강금속
293,디아이,의료정밀
294,디아이씨,운수장비
295,디와이,기타금융
296,DN오토모티브,전기전자
297,롯데관광개발,서비스업
298,롯데손해보험,보험
299,롯데쇼핑,유통업
300,롯데정밀화학,화학
301,롯데지주,기타금융
302,롯데칠성,음식료품
303,롯데케미칼,화학
304,마니커,음식료품
305,만호제강,철강금속
306,명문제약,의약품
307,모나리자,종이목재
308,모나미,유통업
309,모토닉,운수장비
310,무림P&P,종이목재
311,무림페이퍼,종이목재
312,문배철강,철강금속
313,미래산업,의료정밀
314,미래아이앤지,서비스업
315,미래에셋증권,증권
316,미원상사,화학
317,미원홀딩스,기타금융
318,미창석유,화학
319,방림,섬유의복
320,백광산업,화학
321,태경비케이,비금속광물
322,백산,화학
323,범양건영,건설업
324,보락,화학
325,보령,의약품
326,보해양조,음식료품
327,부광약품,의약품
328,부국증권,증권
329,부국철강,철강금속
330,부산산업,비금속광물
331,부산주공,운수장비
332,비상교육,서비스업
333,빙그레,음식료품
334,사조대림,음식료품
335,사조동아원,음식료품
336,사조산업,"농업, 임업 및 어업"
337,사조오양,음식료품
338,SGC에너지,전기가스업
339,삼성SDI,전기전자
340,삼성공조,운수장비
341,삼성물산,유통업
342,삼성E&A,서비스업
343,삼성전기,전기전자
344,삼성전자,전기전자
345,삼성제약,의약품
346,삼성중공업,운수장비
347,삼성증권,증권
348,삼성출판사,서비스업
349,삼성카드,기타금융
350,삼성화재,보험
351,삼아알미늄,철강금속
352,삼양식품,음식료품
353,삼양통상,기타제조업
354,삼양홀딩스,기타금융
355,삼영무역,유통업
356,삼영전자,전기전자
357,삼영,화학
358,삼익THK,기계
359,삼익악기,기타제조업
360,삼일제약,의약품
361,삼정펄프,종이목재
362,삼진제약,의약품
363,삼천리,전기가스업
364,삼호개발,건설업
365,삼화왕관,기계
366,삼화전기,전기전자
367,삼화전자,전기전자
368,삼화콘덴서,전기전자
369,삼화페인트,화학
370,상신브레이크,운수장비
371,새론오토모티브,운수장비
372,샘표,기타금융
373,서연,기타금융
374,서울가스,전기가스업
375,서울식품,음식료품
376,서원,철강금속
377,서흥,화학
378,선도전기,전기전자
379,SUN&L,종이목재
380,성문전자,전기전자
381,성보화학,화학
382,성신양회,비금속광물
383,성창기업지주,서비스업
384,세기상사,유통업
385,세방,운수창고업
386,세방전지,전기전자
387,세아베스틸지주,철강금속
388,세아제강,철강금속
389,세아홀딩스,철강금속
390,세우글로벌,유통업
391,세원이앤씨,기계
392,세원정공,운수장비
393,세이브존I&C,유통업
394,에스제이지세종,운수장비
395,송원산업,화학
396,수산중공업,기계
397,신대양제지,종이목재
398,신도리코,전기전자
399,신라교역,"농업, 임업 및 어업"
400,신성이엔지,전기전자
401,신성통상,유통업
402,신세계,유통업
403,신세계I&C,서비스업
404,신세계건설,건설업
405,신영와코루,섬유의복
406,신영증권,증권
407,신원,섬유의복
408,신일전자,유통업
409,신풍제약,의약품
410,신풍,유통업
411,신한지주,기타금융
412,SHD,철강금속
413,신흥,유통업
414,쌍방울,섬유의복
415,쌍용C&E,비금속광물
416,써니전자,전기전자
417,씨아이테크,기타제조업
418,아남전자,전기전자
419,아모레퍼시픽,화학
420,아모레G,화학
421,메타랩스,섬유의복
422,아세아,서비스업
423,아세아제지,종이목재
424,아시아나항공,운수창고업
425,아이에스동서,비금속광물
426,IHQ,서비스업
427,알루코,철강금속
428,에넥스,기타제조업
429,에스엘,운수장비
430,에스원,서비스업
431,SJM홀딩스,유통업
432,에쓰씨엔지니어링,건설업
433,에이엔피,전기전자
434,에이프로젠,기계
435,에이프로젠바이오로직스,의약품
436,엔씨소프트,서비스업
437,엔케이,기계
438,플레이그램,유통업
439,NPC,화학
440,영보화학,화학
441,영원무역,유통업
442,영원무역홀딩스,기타금융
443,영진약품,의약품
444,영풍,철강금속
445,영풍제지,종이목재
446,영화금속,운수장비
447,예스코홀딩스,서비스업
448,오뚜기,음식료품
449,오리엔트바이오,의약품
450,오리온홀딩스,기타금융
451,웰바이오텍,유통업
452,우리금융지주,기타금융
453,팜젠사이언스,의약품
454,에스메디,유통업
455,우성,음식료품
456,우신시스템,기계
457,우진플라임,기계
458,웅진,서비스업
459,웅진씽크빅,서비스업
460,원림,섬유의복
461,윌비스,유통업
462,유나이티드제약,의약품
463,유니드,화학
464,유니온,비금속광물
465,유니온머티리얼,비금속광물
466,유니퀘스트,유통업
467,유성기업,운수장비
468,유수홀딩스,서비스업
469,유안타증권,증권
470,유엔젤,서비스업
471,유유제약,의약품
472,유진투자증권,증권
473,유한양행,의약품
474,유화증권,증권
475,율촌화학,화학
476,이건산업,종이목재
477,이구산업,철강금속
478,이수페타시스,전기전자
479,이수화학,화학
480,이스타코,서비스업
481,이아이디,유통업
482,이월드,기타제조업
483,이화산업,유통업
484,인디에프,섬유의복
485,인스코비,통신업
486,인지컨트롤스,운수장비
487,인천도시가스,전기가스업
488,인팩,운수장비
489,일동홀딩스,의약품
490,일성건설,건설업
491,일성아이에스,의약품
492,일신방직,섬유의복
493,일신석재,유통업
494,일양약품,의약품
495,일정실업,섬유의복
496,일진다이아,화학
497,일진디스플,전기전자
498,일진전기,전기전자
499,일진홀딩스,기타금융
500,자화전자,전기전자
501,전방,섬유의복
502,제이준코스메틱,화학
503,제일기획,서비스업
504,제일연마,비금속광물
505,제일파마홀딩스,서비스업
506,조광페인트,화학
507,조광피혁,기타제조업
508,조비,화학
509,조일알미늄,철강금속
510,조흥,음식료품
511,종근당바이오,의약품
512,종근당홀딩스,의약품
513,주연테크,전기전자
514,HS애드,서비스업
515,진도,유통업
516,진양산업,화학
517,진양폴리,화학
518,진양홀딩스,화학
519,진양화학,화학
520,진원생명과학,의약품
521,진흥기업,건설업
522,참엔지니어링,기계
523,천일고속,운수창고업
524,청호ICT,기계
525,체시스,운수장비
526,카프로,화학
527,케이씨,의료정밀
528,KCC,화학
529,KCTC,운수창고업
530,KT,통신업
531,KT&G,기타제조업
532,코리아써키트,전기전자
533,코리안리,보험
534,코스맥스비티아이,기타금융
535,코스모신소재,화학
536,코스모화학,화학
537,코아스,기타제조업
538,코오롱,기타금융
539,코오롱글로벌,건설업
540,코웨이,서비스업
541,콤텍시스템,서비스업
542,크라운해태홀딩스,기타금융
543,키움증권,증권
544,태경산업,화학
545,태경케미컬,화학
546,태광산업,화학
547,태림포장,종이목재
548,태양금속,운수장비
549,태영건설,건설업
550,태원물산,운수장비
551,TP,섬유의복
552,텔코웨어,서비스업
553,TBH글로벌,섬유의복
554,티에이치엔,전기전자
555,파미셀,의약품
556,팜스코,음식료품
557,팬오션,운수창고업
558,퍼스텍,기계
559,퍼시스,기타제조업
560,페이퍼코리아,종이목재
561,평화산업,운수장비
562,평화홀딩스,운수장비
563,POSCO홀딩스,철강금속
564,포스코스틸리온,철강금속
565,포스코인터내셔널,유통업
566,풀무원,음식료품
567,풍산,철강금속
568,풍산홀딩스,기타금융
569,KH필룩스,전기전자
570,하나금융지주,기타금융
571,BNK금융지주,기타금융
572,DGB금융지주,기타금융
573,KC코트렐,기계
574,KTcs,서비스업
575,금호타이어,화학
576,대성산업,유통업
577,대성에너지,전기가스업
578,도화엔지니어링,서비스업
579,한화엔진,기계
580,락앤락,화학
581,롯데하이마트,유통업
582,무학,음식료품
583,벽산,비금속광물
584,삼부토건,건설업
585,삼성생명,보험
586,삼양사,음식료품
587,삼원강재,운수장비
588,세아특수강,철강금속
589,신세계인터내셔날,유통업
590,신세계푸드,서비스업
591,아이마켓코리아,유통업
592,인바이오젠,유통업
593,SJM,운수장비
594,에이블씨엔씨,화학
595,영흥,철강금속
596,우진,의료정밀
597,유니켐,기타제조업
598,이마트,유통업
599,이연제약,의약품
600,롯데에너지머티리얼즈,전기전자
601,조선선재,기계
602,지역난방공사,전기가스업
603,KTis,서비스업
604,스카이라이프,서비스업
605,코오롱인더,화학
606,코오롱플라스틱,화학
607,티웨이홀딩스,비금속광물
608,하나투어,서비스업
609,한국항공우주,운수장비
610,한국화장품,유통업
611,HL홀딩스,기타금융
612,한미약품,의약품
613,한세엠케이,유통업
614,한전산업,서비스업
615,한화생명,보험
616,현대위아,운수장비
617,현대홈쇼핑,유통업
618,휠라홀딩스,유통업
619,GS리테일,유통업
620,메리츠금융지주,기타금융
621,미원화학,화학
622,선진,음식료품
623,인터지스,운수창고업
624,제주은행,은행
625,시디즈,기타제조업
626,한국종합기술,서비스업
627,LG헬로비전,서비스업
628,대한해운,운수창고업
629,동일고무벨트,화학
630,사조씨푸드,음식료품
631,애경케미칼,화학
632,지엠비코리아,운수장비
633,한국콜마,화학
634,한국타이어앤테크놀로지,화학
635,휴비스,화학
636,DSR,철강금속
637,JB금융지주,기타금융
638,NHN,서비스업
639,동아에스티,의약품
640,한진칼,운수창고업
641,현대로템,운수장비
642,신송홀딩스,유통업
643,아세아시멘트,비금속광물
644,종근당,의약품
645,AJ네트웍스,서비스업
646,BGF,기타금융
647,디와이파워,기계
648,HL만도,운수장비
649,미래에셋생명,보험
650,코스맥스,화학
651,쿠쿠홀딩스,기타금융
652,화인베스틸,철강금속
653,삼성에스디에스,서비스업
654,서연이화,운수장비
655,씨에스윈드,기계
656,JW생명과학,의약품
657,LIG넥스원,기계
658,LS에코에너지,기타금융
659,SK디앤디,서비스업
660,경보제약,의약품
661,금호에이치티,운수장비
662,삼일씨엔에스,비금속광물
663,동서,유통업
664,동일제강,철강금속
665,두산밥캣,기계
666,두올,운수장비
667,삼성바이오로직스,의약품
668,샘표식품,음식료품
669,세진중공업,운수장비
670,다이나믹디자인,기계
671,HDC랩스,건설업
672,용평리조트,서비스업
673,이노션,서비스업
674,일동제약,의약품
675,잇츠한불,화학
676,제이에스코퍼레이션,기타제조업
677,제주항공,운수창고업
678,토니모리,화학
679,한국자산신탁,기타금융
680,한국토지신탁,기타금융
681,한솔제지,종이목재
682,해성디에스,전기전자
683,해태제과식품,음식료품
684,핸즈코퍼레이션,운수장비
685,현대코퍼레이션홀딩스,유통업
686,화승엔터프라이즈,기타제조업
687,셀트리온,의약품
688,카카오,서비스업
689,HDC,기타금융
690,BGF리테일,유통업
691,F&F홀딩스,기타금융
692,HD한국조선해양,기타금융
693,HD현대,기타금융
694,HD현대건설기계,기계
695,HD현대일렉트릭,전기전자
696,LX세미콘,전기전자
697,LX인터내셔널,유통업
698,OCI홀딩스,화학
699,SK케미칼,화학
700,경동도시가스,전기가스업
701,넷마블,서비스업
702,대덕,기타금융
703,더블유게임즈,서비스업
704,덴티움,의료정밀
705,동국홀딩스,철강금속
706,동아타이어,화학
707,동양피스톤,운수장비
708,롯데웰푸드,음식료품
709,롯데이노베이트,서비스업
710,미원에스씨,화학
711,비케이탑스,서비스업
712,삼양패키징,화학
713,성안머티리얼스,섬유의복
714,세아제강지주,기타금융
715,CR홀딩스,비금속광물
716,아시아나IDT,서비스업
717,애경산업,화학
718,에어부산,운수창고업
719,오리온,음식료품
720,우진아이엔에스,건설업
721,제일약품,의약품
722,진에어,운수창고업
723,케이씨텍,의료정밀
724,콘텐트리중앙,서비스업
725,콜마홀딩스,기타금융
726,쿠쿠홈시스,서비스업
727,크라운제과,음식료품
728,테이팩스,화학
729,티웨이항공,운수창고업
730,포스코퓨처엠,전기전자
731,하나제약,의약품
732,한일홀딩스,비금속광물
733,현대지에프홀딩스,기타금융
734,호전실업,섬유의복
735,화승코퍼레이션,운수장비
736,효성중공업,전기전자
737,효성첨단소재,화학
738,효성티앤씨,화학
739,효성화학,화학
